nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0002947,Toby Oliver,-1,-1,"cinematographer,camera_department,producer","tt5052448,tt8064302,tt30428143,tt3797512"
nm0003003,Ron Gilbert,-1,-1,"actor,producer,casting_department","tt0114814,tt4125630,tt7866456,tt0805669"
nm0003005,Gary Lionelli,-1,-1,"composer,music_department,soundtrack","tt5275892,tt3279124,tt1578887,tt11893274"
nm0003085,Alan Roberts,-1,2016,"editor,producer,director","tt0147479,tt0226429,tt0076944,tt0070507"
nm0003133,Jean-Christophe Bouvet,1947,-1,"actor,writer,assistant_director","tt0422720,tt0804540,tt0295721,tt0183869"
nm0003151,Melissa Kent,-1,-1,"editor,editorial_department,actress","tt19853698,tt0800325,tt1655441,tt0159097"
nm0003166,Kevin Williams,-1,-1,"director,writer,producer","tt0172182,tt8316992,tt8316840"
nm0003187,Ryan Chan,-1,-1,"editorial_department,editor,producer","tt18272208,tt17632862,tt0805647,tt32490110"
nm0003201,Tim Sullivan,1958,-1,"director,writer,miscellaneous","tt0892318,tt0424095,tt0113448,tt10101702"
nm0003210,C. Ernst Harth,1970,-1,"actor,producer,production_manager","tt0245674,tt0331632,tt14394620,tt8552934"
nm0003330,Tia Nolan,-1,-1,"editor,editorial_department","tt9419884,tt32221196,tt26047818,tt1632708"
nm0003342,E. Bennett Walsh,-1,-1,"producer,production_manager,production_department","tt0419887,tt0293429,tt1226273,tt1815862"
nm0003468,Marc Fisichella,-1,-1,"production_designer,art_director,art_department","tt0166485,tt1790864,tt0111282,tt1860357"
nm0003483,Sarah Flack,-1,-1,"editor,editorial_department,production_department","tt0335266,tt0165854,tt22041854,tt0425598"
nm0003542,Philippe Rousselot,1945,-1,"cinematographer,camera_department,director","tt0110148,tt0105265,tt0319061,tt0094947"
nm0003587,John Penney,-1,-1,"writer,producer,director","tt1430116,tt0107953,tt0429277,tt0156735"
nm0003893,Hughes Winborne,-1,-1,"editor,editorial_department,sound_department","tt0375679,tt2015381,tt2120120,tt1219827"
nm0003981,Lydia Cornell,-1,-1,"actress,producer,writer","tt0264235,tt0080299,tt0096684,tt0083437"
nm0003996,Butch McCain,1958,-1,"actor,music_department,producer","tt12038670,tt3147312,tt0115683,tt0489235"
nm0004000,Gustavo Fernández,-1,-1,"director,assistant_director,miscellaneous","tt19267756,tt29259067,tt5906126,tt0144085"
nm0004051,Brian Cox,1946,-1,"actor,producer,director","tt7660850,tt0332452,tt0290334,tt0268126"
nm0004150,Jeremy Benning,1974,-1,"cinematographer,camera_department,producer","tt29634843,tt3230854,tt8415836,tt11794812"
nm0004193,Debbie Rochon,1968,-1,"actress,producer,writer","tt32421430,tt2274752,tt1937154,tt1401631"
nm0004217,André Øvredal,1973,-1,"director,writer,producer","tt1740707,tt3289956,tt4583446,tt1001520"
nm0004265,Maria Herrera,1969,-1,"actress,producer","tt4733624,tt0837563,tt16030542,tt0289791"
nm0004266,Anne Hathaway,1982,-1,"actress,producer,soundtrack","tt1707386,tt1345836,tt1084950,tt0758752"
nm0004283,Sharon Farber,-1,-1,"composer,music_department,producer","tt10410506,tt0069658,tt0256394,tt4177080"
nm0004286,Clifton Collins Jr.,1970,-1,"actor,producer,director","tt0796366,tt0379725,tt0181865,tt0765010"
nm0004372,Gary Graver,1938,2006,"cinematographer,director,camera_department","tt0082004,tt0121549,tt0178845,tt0207568"
nm0004486,Bruno Ganz,1941,2019,"actor,director,cinematographer","tt0363163,tt0093191,tt2193215,tt1401152"
nm0004487,Juhi Chawla,1967,-1,"actress,producer,music_department","tt0109555,tt0095936,tt0164550,tt2980648"
nm0004564,Hema Malini,1948,-1,"actress,producer,director","tt0337578,tt0073707,tt0072026,tt0082797"
nm0004569,Sanjay Dutt,1959,-1,"actor,music_department,producer","tt0374887,tt0456144,tt1849718,tt0220832"
nm0004586,Byron Werner,-1,-1,"cinematographer,camera_department,producer","tt0783640,tt1922685,tt2071590"
nm0004626,Kareena Kapoor,1980,-1,"actress,music_department,make_up_department","tt1093370,tt1187043,tt0488414,tt1562871"
nm0004631,Seeta Rama Anjaneyulu Chilakalapudi,1907,1963,"actor,music_department","tt0155091,tt0262075,tt0255824,tt0246139"
